k,Neff_A,Neff_B,se_A,se_B,mismatch,code_mismatch
1,76.05173785628587,32.42894227482666,0.8170066779458803,6.8055209249983335,0.5466137084903597,0.04826557832992621
2,73.56183095939977,23.81757548366199,0.7393351381376251,2.2143329816302875,0.5207416522913263,0.05290863817555869
4,74.8916846620134,25.633518507535037,0.6243007026369736,1.201761805028208,0.5059479455344192,0.05386515379430844
8,73.77107141443898,29.636011876481053,0.7538296813992963,0.9884194089183417,0.44500362257169446,0.05175735754049991
16,74.51667506456849,40.61678906991567,0.5142033999104398,0.47128863624800216,0.37946132118945836,0.05375526436429481
32,74.46437563113332,53.92388726687566,0.6815013404767138,0.8455081637143216,0.32659665436725466,0.06095299336451317
64,74.255386019918,58.796327505124395,0.6307554603295823,1.3217877267035438,0.3083421554896309,0.07239979954103756
128,75.07635819912379,66.77075767692588,0.8930118227214254,1.3900452818350555,0.2932044659006496,0.0845951106688618
