k,Neff_B,se_B
1,72.72726348507904,9.520874139274188
2,76.99012957486643,4.948391555110941
4,59.8148020424361,4.280973218517274
8,59.50538294320692,2.9139990877631465
16,65.33678889252592,2.821100688473813
32,74.22754511134481,1.867136687893982
64,73.8165428052753,1.0251722221192052
128,66.77170720459151,0.6058909443308417
