lambda,k,neff_B,neff_B_std,order_B
0.0,1,266.8880946629123,6.664038228056434,0.08425377079762608
0.0,2,268.19614976693566,2.034685817731706,0.05802455820688786
0.0,4,262.93080178595244,3.1732332882742695,0.058815657691766964
0.0,8,266.81733110894874,3.456933067407628,0.0669047972081001
0.0,16,262.80897982711747,9.138168824027433,0.06912849535682933
0.0,32,266.1738672168987,7.609216754128067,0.05073291372838899
0.0,64,269.95572196930317,5.615159866275679,0.057761262418449755
0.0,128,266.2005017469217,3.34032383238752,0.0742508282658152
0.0,256,261.7465224614551,7.606447051113332,0.05788604957745809
0.25,1,218.94067690871807,44.36201308694713,0.51807635904758
0.25,2,179.66359738291766,16.182963246883844,0.4151508162674123
0.25,4,168.48090021090601,14.211420753336856,0.3157097838418302
0.25,8,148.97267711075847,4.427313096984619,0.22699539720205042
0.25,16,155.90357071281798,2.0577305734055398,0.14894551230959305
0.25,32,173.38795819497142,3.8636661434516633,0.09627309580348331
0.25,64,194.06353144801324,4.741956683003894,0.10697139605072052
0.25,128,214.0890286215186,4.103882571705464,0.08724649150183526
0.25,256,221.65807576841036,6.768020208645972,0.13278520739877983
0.5,1,191.90725672382126,65.55963990464336,0.5157642152034501
0.5,2,174.84776629354184,52.102794778865245,0.5500025251801203
0.5,4,136.53814385886645,16.438407205746017,0.3687077708948692
0.5,8,122.15040419258658,3.8047267439525556,0.27748994615752853
0.5,16,134.17372369037813,7.71796002430163,0.27481428949829395
0.5,32,145.31352304390165,4.1971623752042575,0.1675036821802327
0.5,64,177.04757342901763,3.5126829071631356,0.14065565403944566
0.5,128,211.13121359008187,4.6259202082701005,0.15282103689956106
0.5,256,223.17742545425682,3.8457252425239954,0.08755844721290698
1.0,1,210.1996133348376,67.47355187856004,0.6670829239440105
1.0,2,116.35673606789896,22.460773091797147,0.49199271358107544
1.0,4,94.83708695753333,6.994832351412268,0.2933675063288351
1.0,8,99.82431676634252,6.671607338160664,0.2660350163026499
1.0,16,107.28600283591973,2.0090730452875056,0.21728087564749857
1.0,32,133.97782641124928,3.1309609854227594,0.2298896506581755
1.0,64,170.87946201349516,3.7999185622748675,0.11459862122021477
1.0,128,208.86777694354365,1.7555184022141392,0.08466263938230202
1.0,256,229.54212459022688,5.066429107740879,0.08568669352587255
2.0,1,162.1884375221091,61.47519808199664,0.6516748297875911
2.0,2,66.43231904391767,6.330069959711171,0.31329556334286474
2.0,4,72.03429658123396,2.0129997495991105,0.34608317346164486
2.0,8,75.33401981733724,5.242641928930152,0.2768136062895118
2.0,16,90.86355821076344,4.629216296030395,0.2382255714265503
2.0,32,113.20250127083004,0.945236038517587,0.13668588864283715
2.0,64,162.80389328263078,1.6013952800704472,0.1335327031833611
2.0,128,214.82686406037664,6.833914215554698,0.1254658910560183
2.0,256,240.33552701351772,5.272365252666332,0.1007620850539748
4.0,1,122.99931176628142,66.63547774814626,0.6095855257586471
4.0,2,51.22310849373498,7.199693662639721,0.41172451918720165
4.0,4,75.3726485559545,23.30155762540018,0.5180086901621593
4.0,8,64.4276354529525,4.158672757779948,0.297532207192841
4.0,16,80.31901068699881,3.8293774438985424,0.1838729537186701
4.0,32,110.31582767601665,2.97076456523858,0.12853980446097155
4.0,64,158.01032028188862,3.238341784193158,0.12015239720798057
4.0,128,212.7083962711688,6.314808833910026,0.09250311877437949
4.0,256,250.91691500174647,4.862225639233753,0.08758394395333124
8.0,1,84.40043349175933,52.75572570942012,0.5426063992357351
8.0,2,91.37163595066643,47.27846221089854,0.6251356690630042
8.0,4,48.35514108202896,3.9216298919422345,0.33996748540542754
8.0,8,57.905997884432985,3.07370006845654,0.21712395021556263
8.0,16,71.58545819612704,3.3938111657270533,0.16777069230860683
8.0,32,102.91106012179966,5.129642725363024,0.1382324627724467
8.0,64,152.54919007685956,4.08839495297289,0.13425662866907603
8.0,128,207.3750289940724,3.2823408085455594,0.09196836281696194
8.0,256,251.60656654075265,7.297739395471909,0.09756061233767845
