k,Neff_A,Neff_B,mismatch,se_A,se_B
1,13.424,16.963,0.6066,0.429,1.084
2,12.984,16.466,0.6213,0.290,0.906
4,13.200,16.451,0.5940,0.468,0.725
8,13.447,15.377,0.5787,0.394,0.904
16,13.189,14.862,0.5331,0.489,0.710
32,12.775,14.023,0.4655,0.591,0.687
